"","s_code","s_name","s_description","s_resource_code","s_sensor_type_code","s_table_name","s_table_type","s_x_offset","s_y_offset","s_z_offset","s_datum_code","s_datum_value","s_graph_value","s_min_value_1","s_max_value_1","s_min_value_2","s_max_value_2","s_min_value_3","s_max_value_3","s_min_value_4","s_max_value_4","s_min_value_5","s_max_value_5","deleted","datestamp"
"1",5,"scevo.data.bom.idy.badgingarra.raw.atmpress","scevo.data.bom.idy.badgingarra.raw.atmpress",1,5,"sensor_repository_00005","RAW",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:42
"2",6,"scevo.data.bom.idy.badgingarra.raw.rainfall_9am","scevo.data.bom.idy.badgingarra.raw.rainfall_9am",1,6,"sensor_repository_00006","RAW",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:43
"3",7,"scevo.data.bom.idy.badgingarra.raw.rainfall","scevo.data.bom.idy.badgingarra.raw.rainfall",1,7,"sensor_repository_00007","RAW",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"4",8,"scevo.data.bom.idy.badgingarra.downsampled.30min.wind_speed","scevo.data.bom.idy.badgingarra.downsampled.30min.wind_speed",1,1,"sensor_repository_00008","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"5",9,"scevo.data.bom.idy.badgingarra.downsampled.30min.wind_direction","scevo.data.bom.idy.badgingarra.downsampled.30min.wind_direction",1,2,"sensor_repository_00009","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"6",10,"scevo.data.bom.idy.badgingarra.downsampled.30min.air_temperature","scevo.data.bom.idy.badgingarra.downsampled.30min.air_temperature",1,3,"sensor_repository_00010","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"7",11,"scevo.data.bom.idy.badgingarra.downsampled.30min.dew_point","scevo.data.bom.idy.badgingarra.downsampled.30min.dew_point",1,4,"sensor_repository_00011","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"8",12,"scevo.data.bom.idy.badgingarra.downsampled.30min.atmpress","scevo.data.bom.idy.badgingarra.downsampled.30min.atmpress",1,5,"sensor_repository_00012","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"9",13,"scevo.data.bom.idy.badgingarra.downsampled.30min.rainfall_9am","scevo.data.bom.idy.badgingarra.downsampled.30min.rainfall_9am",1,6,"sensor_repository_00013","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
"10",14,"scevo.data.bom.idy.badgingarra.downsampled.30min.rainfall","scevo.data.bom.idy.badgingarra.downsampled.30min.rainfall",1,7,"sensor_repository_00014","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:48:44
